HROB	"HROB"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SCARB2	"SCARB2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SNTA1	"SNTA1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TRNT1	"TRNT1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CLCN1	"CLCN1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GPIHBP1	"GPIHBP1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
P2RX2	"P2RX2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
DSP	"DSP"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SOST	"SOST"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CHRNA1	"CHRNA1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ENG	"ENG"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GATA2	"GATA2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SLC22A12	"SLC22A12"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ATP6AP2	"ATP6AP2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
C14orf39	"C14orf39"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SLC12A5	"SLC12A5"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SYNJ1	"SYNJ1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
JAK2	"JAK2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
FIG4	"FIG4"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
RNASEH1	"RNASEH1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
KCNJ11	"KCNJ11"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
SCN4A	"SCN4A"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
TP53	"TP53"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
NDUFS2	"NDUFS2"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
GRN	"GRN"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
ATP7B	"ATP7B"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
YARS1	"YARS1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
CACNB4	"CACNB4"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
H6PD	"H6PD"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSEN1	"PSEN1"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
MAPT	"MAPT"	"id"	"BiologicalEntity|Entity|Gene|NamedThing"
