PSMB10		"PSMB10"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMD9		"PSMD9"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMD7		"PSMD7"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMD8		"PSMD8"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMD5		"PSMD5"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMD6		"PSMD6"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
ERLEC1		"ERLEC1"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMD3		"PSMD3"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMD4		"PSMD4"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMD2		"PSMD2"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
RPS27A		"RPS27A"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
ABCA3		"ABCA3"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
ABCA1		"ABCA1"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
ERLIN2		"ERLIN2"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
ERLIN1		"ERLIN1"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMA6		"PSMA6"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
LMBRD1		"LMBRD1"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMA7		"PSMA7"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMA4		"PSMA4"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
ABCB11		"ABCB11"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMA5		"PSMA5"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
SEM1		"SEM1"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMA2		"PSMA2"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMA3		"PSMA3"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSME4		"PSME4"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSMA1		"PSMA1"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSME2		"PSME2"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSME3		"PSME3"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
PSME1		"PSME1"	"gene_id"	"BiologicalEntity|Entity|Gene|NamedThing"
